,Topic,Count,Name,Representation,Representative_Docs,Unique_Person_Count
0,-1,672,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",488
1,0,406,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",322
2,1,373,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",297
3,2,242,2_beautiful_helpful_definitely_one,"['beautiful', 'helpful', 'definitely', 'one', 'metro', 'friendly staff', 'milan', 'amsterdam', 'service', 'hotels']","[' they even let us keep our luggage there once we checked out so we could spend our last remaining hours in Camden comfortably without carrying heavy luggage around Staff always greeted guests with a smile having a Starbucks downstairs really made the hotel wonderful I can t wait to visit again ', ' Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to ', ' The hotel the staff ']",200
4,3,239,3_reception_excellent_professional_welcoming,"['reception', 'excellent', 'professional', 'welcoming', 'staff staff friendly', 'always', 'services', 'friendly helpful', 'attentive', 'help']","[' staff ', ' staff', ' staff']",212
5,4,170,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",148
6,5,149,5_us_alarm_checkout_50,"['us', 'alarm', 'checkout', '50', 'arrived', 'refund', 'staff', 'even though', 'surprise', 'credit card']","[' then spoke to the duty manager John who said he would refund me the full amount of 10 24 which was find but when I check this morning the hotel not given me a refund they have taken out 17 50 what a jock I want a full refund for the 17 50 please the stay off 199 00 because the service was shocking', ' they bumped me in favor of another client I had no prior warning or email from their Mangement Someone on the reception was just trying to figure out which other hotel in paris to move me to even though I was in town for work for less than 24 hours Extremely unprofessional It s only after I became extremely agitated that they actually gave me my room which implies that there was no need for this whole story or added stress Or they did that stunt to the next client who decided to check in Just unacceptable ', ' The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience ']",113
7,6,136,6_bed hard_staff_pillow_really,"['bed hard', 'staff', 'pillow', 'really', 'extra', 'comfortable beds', 'really comfy', 'amazing', 'bit', 'location']","[' bed', ' bed ', ' bed']",126
8,7,108,7_hair_space_small_door,"['hair', 'space', 'small', 'door', 'bathroom bathroom', 'dirty', 'cracked', 'apart', 'dated', 'also']","[' big bathroom', ' The shower ', ' bathroom']",96
9,8,106,8_great_easy_transport_location great location,"['great', 'easy', 'transport', 'location great location', 'shopping', 'centre', 'streets', 'public', 'free wifi', 'far']","[' Great location ', ' Great location ', ' Great location ']",100
10,9,88,9_friendly_helpful_location friendly staff_good,"['friendly', 'helpful', 'location friendly staff', 'good', 'great location', 'lovely', 'distance', 'walking', 'comfortable', 'especially']","[' Location friendly staff', ' Location friendly staff', ' Great location friendly staff ']",85
11,10,82,10_dusty_carpet_strong_cups,"['dusty', 'carpet', 'strong', 'cups', 'could better', 'service', 'days', 'bit', 'still cleaned', 'scratch smoky smelling']","[' Clean rooms', ' clean room ', ' the room clean ']",75
12,11,74,11_metro_minute_central_milan,"['metro', 'minute', 'central', 'milan', 'walking', '10', 'earls', 'court tube', 'paddington station', 'close train']","[' tube station is 5 min walk ', ' Metro Station ', ' tube station']",70
13,12,71,12_air conditioning_windows_weather_conditioner,"['air conditioning', 'windows', 'weather', 'conditioner', 'noisy', 'con', 'bathroom', 'complained', 'days', 'also']","[' Air conditioning didn t work ', ' Air conditioning did not work ', ' The Air conditioning did not work in the room ']",56
14,13,65,13_door_next_busy_windows,"['door', 'next', 'busy', 'windows', 'hear', 'centre', 'poor', 'comfortable', 'light', 'street quiet']","[' The noise ', ' Construction site next door meant it was a bit noisy in our room first thing Railway close by too so added noise but not unbearable ', ' terrible bed in family room not suitable for 2 adults too loud windows looking at the street should be closed all the time otherwise too much noise coming from outside traffic restaurant in front too much overpriced for the current state of the rooms refurbishment needed ']",61
